instances,algo_PPO,algo_SACdiscrete,algo_IQN,algo_Rainbow
LunarLander-v2#10.0#0.0#1.0999999999999999,"[[26.62261724472046, 24.83386731147766, 25.528733491897583], [25.900162299998556, 24.13134170000012, 24.857898899999782]]","[[29.6854088306427, 29.646392345428467, 27.63834524154663], [28.50487459999931, 28.44525059999978, 26.596715900001072]]","[[20.43858289718628, 22.255646467208862, 21.961986303329468], [19.43474570000035, 21.243664899999203, 21.062440499999866]]","[[24.771429538726807, 23.9426052570343, 25.337028741836548], [23.853505299999597, 23.051906200000303, 24.35244849999981]]"
CartPole-v1#6.859999999999999#0.7#0.06999999999999999#0.35#7.0,"[[25.560123682022095, 27.57414221763611, 29.603495836257935], [25.23730129999967, 27.226286200000686, 29.231221600000936]]","[[29.718735218048096, 28.731412410736084, 28.891095876693726], [29.251636099999814, 28.265249399999448, 28.443446200000835]]","[[21.818286895751953, 21.846755981445312, 21.920814514160156], [21.421434800000497, 21.425771800000803, 21.509877599999527]]","[[24.59691023826599, 24.520864248275757, 25.829309701919556], [24.234792499999458, 24.17579030000161, 25.461192500000834]]"
CartPole-v1#12.74#1.9#0.19#0.95#7.0,"[[25.379075050354004, 24.90187382698059, 25.529109716415405], [25.053609399999914, 24.5725781000001, 25.190760700001192]]","[[28.83899974822998, 30.001022577285767, 28.832893133163452], [28.370880500000567, 29.52818280000065, 28.37726339999972]]","[[20.659592628479004, 20.298853635787964, 21.838273286819458], [20.255051399999502, 19.904892999998992, 21.470123299999614]]","[[23.52756643295288, 24.125795125961304, 25.286482334136963], [23.140155799999775, 23.745831099999123, 24.855705500000113]]"
CartPole-v1#0.98#1.3#0.06999999999999999#0.35#19.0,"[[25.271119356155396, 27.758270978927612, 26.993476390838623], [24.944145699999353, 27.413433100000475, 26.642641799999183]]","[[29.016289710998535, 27.787711143493652, 28.782416343688965], [28.5979071999991, 27.377487400000973, 28.38353929999903]]","[[25.678025484085083, 24.348304271697998, 20.685898542404175], [25.294751900000847, 23.950984099999914, 20.313284199999543]]","[[24.063430070877075, 24.479498863220215, 25.026164531707764], [23.72298369999953, 24.137446100001398, 24.664791900000637]]"
CartPole-v1#18.62#1.3#0.13#0.95#1.0,"[[24.90481162071228, 24.754928827285767, 23.757588148117065], [24.53332699999919, 24.362203700000464, 23.391466899998704]]","[[27.73740792274475, 27.793434858322144, 28.340800285339355], [27.286924800000634, 27.332839700000477, 27.861397700000452]]","[[20.76274847984314, 20.572136402130127, 22.231802225112915], [20.29197059999933, 20.16736139999921, 21.773831500000597]]","[[24.589884281158447, 24.288259983062744, 22.527108192443848], [24.18644189999941, 23.860797100000127, 22.118790999998964]]"
LunarLander-v2#38.57142857142857#1428.5714285714287#1.2999999999999998,"[[24.881519317626953, 25.18254566192627, 26.313469409942627], [24.104748100000506, 24.222364299999754, 25.4429669000001]]","[[27.147794008255005, 28.097642421722412, 28.171154260635376], [26.204620599999544, 27.08834670000033, 27.180072299999665]]","[[21.596510410308838, 23.233738899230957, 22.128808975219727], [20.546073600000454, 22.032873799998924, 20.956956800000626]]","[[27.451600074768066, 26.962170124053955, 28.808581590652466], [25.737971299999117, 25.57061579999936, 27.021487199999683]]"
CartPole-v1#12.74#1.3#0.06999999999999999#0.95#13.0,"[[26.41633105278015, 25.76708960533142, 26.500409841537476], [26.06836779999867, 25.403786700000637, 26.124480500000573]]","[[27.037168979644775, 27.40086269378662, 27.597792148590088], [26.591001800001322, 26.94038240000009, 27.185067000000345]]","[[19.927672386169434, 21.334739685058594, 22.36626958847046], [19.55538239999987, 20.919955199999094, 21.94401199999993]]","[[22.62344741821289, 22.72989058494568, 23.46837067604065], [22.25154520000069, 22.370536300000822, 23.084659199999805]]"
MountainCar-v0#0.4428571428571428#0.001142857142857143#0.007214285714285715,"[[31.55765390396118, 32.59833240509033, 26.583787441253662], [31.19200230000024, 32.204268700001194, 26.253242599999794]]","[[29.608155012130737, 28.967596530914307, 29.491649389266968], [29.1395078000005, 28.52402240000083, 29.017255099999602]]","[[22.285170793533325, 23.34261465072632, 22.872449159622192], [21.91763279999941, 22.9491878000008, 22.499234400000205]]","[[27.443224906921387, 26.310816764831543, 25.84388256072998], [27.068884800000887, 25.949163999999655, 25.499098599999343]]"
MountainCar-v0#0.4428571428571428#0.0030714285714285717#0.00025,"[[24.402769327163696, 26.01365065574646, 28.56456971168518], [24.032555599998886, 25.604074099999707, 28.18053820000023]]","[[26.85063409805298, 26.57322597503662, 27.4776508808136], [26.36604509999961, 26.011277800000244, 26.941510200000266]]","[[20.669873237609863, 19.536714553833008, 21.541104555130005], [20.187628300000142, 19.06323120000161, 21.084910599998693]]","[[26.632717609405518, 28.44257926940918, 27.184736251831055], [26.229205899999215, 28.01873489999889, 26.710138700000243]]"
MountainCar-v0#0.05#0.0017857142857142859#0.008607142857142858,"[[27.251945972442627, 27.38069248199463, 28.048818826675415], [26.9317116000002, 27.0478961000008, 27.706173299999136]]","[[31.834436416625977, 31.3858745098114, 29.66543698310852], [31.332058900001357, 30.865655700001298, 29.202716900001178]]","[[23.91835355758667, 23.748528480529785, 24.086246967315674], [23.50423310000042, 23.300349900000583, 23.661449400000492]]","[[26.612860918045044, 26.89510726928711, 27.794639110565186], [26.211695100000725, 26.498460700000578, 27.416950599999836]]"
