instances,feature_PIC,feature_POIC,feature_neutrality,feature_lostrictmax,feature_lomax,feature_lostrictmin,feature_lomin,feature_yskew,feature_ykurtosis,feature_sqrDcorSASp,feature_GX1,feature_GX2,feature_GX3,feature_PX1,feature_PX2,feature_PX3,feature_EX1,feature_EX2,algo_PPO,algo_SACdiscrete,algo_IQN,algo_Rainbow,source
LunarLander-v2#50.0#571.4285714285714#1.2999999999999998,0.7026769395793484,0.0376707288753666,0.0,0.11,0.11,0.1,0.1,-0.3956740516164431,-0.4083992641252916,0.8545119961085296,0.7859089817342463,0.9791388669507642,1.0,1.0,0.9868175567544162,0.7610706663314966,0.9853155748703152,1.0,0.9929434665044596,1.0,0.9843531016527228,0.9898753588421568,LunarLander
CartPole-v1#0.98#1.9#0.01#0.65#13.0,0.6963639032073323,0.0059432319618104,0.0012916666666666,0.07,0.07,0.11,0.11,2.970617501130552,9.472562688072498,0.7131109458918594,-0.0,0.3305489836318864,1.0,0.2280951518132166,0.9440374809101028,1.0,1.0,-0.0,1.0,0.7383770158969457,0.8241018264049775,0.5415586220657416,CartPole
CartPole-v1#0.98#1.9#0.06999999999999999#0.95#7.0,0.8469501856008084,0.0037625700413729,0.0,0.19,0.19,0.05,0.05,1.7973891942722071,3.3659860106342343,0.5125292771076712,-0.0,-0.0,1.0,-0.0,0.9569493551117974,1.0,1.0,-0.0,1.0,0.4394081540215642,0.7256128184703704,-0.0,CartPole
CartPole-v1#18.62#0.7#0.06999999999999999#0.05#1.0,0.5317458240282056,0.0027823284517409,0.0052998755057578,0.09,0.09,0.08,0.08,0.4735486852750462,-0.4171831834789388,0.9088791681362738,0.8862499302546173,0.9684027584040604,1.0,0.4478645513666995,0.908367999371775,1.0,1.0,0.9313854397120792,0.1575015547290428,0.0633320552957873,1.0,0.0157504460228698,CartPole
CartPole-v1#12.74#0.7#0.13#0.05#19.0,0.3059667299848805,0.0080999475030484,0.0450847581671516,0.08,0.08,0.09,0.11,0.8939199262811336,1.0408828565389632,0.4463044078081222,0.5527024564103602,1.0,1.0,0.529332281578217,0.4280205092247689,1.0,1.0,0.0025526747892318,1.0,0.219531213325069,0.1594337034149767,0.1778070730091665,CartPole
CartPole-v1#12.74#1.3#0.06999999999999999#0.95#19.0,0.7130593799447178,0.0050879604358721,0.0025099206349206,0.08,0.08,0.1,0.1,1.7939035955561915,4.241435815488596,0.8252424702103818,0.2061757239458135,0.7814234043987148,1.0,0.1082421486847886,0.3999003382014288,1.0,1.0,-0.0,1.0,0.6674317423772839,0.671047433513386,0.6885232740045456,CartPole
CartPole-v1#18.62#0.1#0.19#0.65#1.0,0.6321835445474839,0.0026355565505244,0.0053045907601754,0.07,0.07,0.1,0.12,1.3114255300716249,1.9536080240757083,0.7700752868851078,0.3595769682726204,0.6895911930236873,1.0,0.4987753010504739,1.0,0.6154445298488342,1.0,-0.0,0.9903904531765788,1.0,0.7616832387791451,0.040486749681357,CartPole
LunarLander-v2#44.285714285714285#285.7142857142857#0.5,0.7874564158481121,0.0157165507208585,0.0,0.07,0.07,0.13,0.13,-0.5960746449422797,-0.4047286993841581,0.52434104634084,0.787590618312403,1.0,0.7072223858305665,1.0,0.9007693008426982,0.3957226998305185,1.0,0.6759310478882591,0.3075872582822485,0.3464757466157304,0.3563322084812548,1.0,LunarLander
CartPole-v1#0.98#1.3#0.06999999999999999#0.05#1.0,0.6458554083432926,0.0075841638290545,0.0,0.11,0.11,0.1,0.1,2.4926541592628726,6.860960699035267,0.728977344988641,0.0737744034707158,0.2456399132321041,1.0,-0.0,0.4521188357713768,1.0,1.0,0.3951756767238036,0.998841844024968,0.9908049434709584,1.0,0.8580732496051741,CartPole
MountainCar-v0#0.6#0.0017857142857142859#0.0030357142857142857,0.1461521304864385,0.0112976614352214,0.7528319896760669,0.1,0.25,0.0,0.86,5.96223423558456,37.69003023904709,0.0799103345028722,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7925311203319542,MountainCar
